Profile_Id,Profile_Name,Profile_Link,Designation
54,Toluwanimi Akaehomen,https://pureportal.coventry.ac.uk/en/persons/toluwanimi-akaehomen/publications/,False
55,Nurgul Akhtanova,https://pureportal.coventry.ac.uk/en/persons/nurgul-akhtanova/publications/,False
56,Khwaja Zia Akhtar,https://pureportal.coventry.ac.uk/en/persons/khwaja-zia-akhtar/publications/,False
57,Damilola Akinniyi,https://pureportal.coventry.ac.uk/en/persons/damilola-akinniyi/publications/,Assistant Lecturer in Civil Engineering
58,Opeoluwa Akinseloyin,https://pureportal.coventry.ac.uk/en/persons/opeoluwa-akinseloyin/publications/,False
59,Christiana Olajumoke Akintoye,https://pureportal.coventry.ac.uk/en/persons/christiana-olajumoke-akintoye/publications/,False
60,Josiah Akintunde,https://pureportal.coventry.ac.uk/en/persons/josiah-akintunde-2/publications/,False
61,Sule Akkoyunlu,https://pureportal.coventry.ac.uk/en/persons/sule-akkoyunlu/publications/,Lecturer in Economics
62,George Akomas,https://pureportal.coventry.ac.uk/en/persons/george-akomas/publications/,Assistant Professor (Academic)
63,Ebenezer Akore Yeboah,https://pureportal.coventry.ac.uk/en/persons/ebenezer-akore-yeboah/publications/,False
64,Michail Akritidis,https://pureportal.coventry.ac.uk/en/persons/michail-akritidis/publications/,False
65,NANA Akuoko,https://pureportal.coventry.ac.uk/en/persons/nana-akuoko-2/publications/,"Academic Marking Assistant, Project Supervisor"
66,Adewale Alabi,https://pureportal.coventry.ac.uk/en/persons/adewale-alabi/publications/,Lecturer in Adult Nursing
67,Isaac Alade,https://pureportal.coventry.ac.uk/en/persons/isaac-alade/publications/,Lecturer in Decision-Making and Risk Management
68,Shahzad Alam,https://pureportal.coventry.ac.uk/en/persons/shahzad-alam/publications/,False
69,Lara Alamad,https://pureportal.coventry.ac.uk/en/persons/lara-alamad/publications/,Assistant Professor (Academic)
70,Samir Alamad,https://pureportal.coventry.ac.uk/en/persons/samir-alamad/publications/,Assistant Professor (Academic)
71,Mahsa Alami Fariman,https://pureportal.coventry.ac.uk/en/persons/mahsa-alami-fariman/publications/,Assistant Lecturer in Planning & Urban Environments
72,Saif Faris Ahmad Alatrash,https://pureportal.coventry.ac.uk/en/persons/saif-faris-ahmad-alatrash/publications/,False
73,Khalid Ali Ahmad Mohammed Alawar,https://pureportal.coventry.ac.uk/en/persons/khalid-ali-ahmad-mohammed-alawar/publications/,False
74,Manal A I Al Badawi Hashaykeh,https://pureportal.coventry.ac.uk/en/persons/manal-a-i-al-badawi-hashaykeh/publications/,False
75,Nahla Juma Khamis Al Balushi,https://pureportal.coventry.ac.uk/en/persons/nahla-juma-khamis-al-balushi/publications/,False
76,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/persons/ammar-al-bazi/publications/,EEC Visitor
77,Amna Mohammad Hassan Ibrahim Alblooshi,https://pureportal.coventry.ac.uk/en/persons/amna-mohammad-hassan-ibrahim-alblooshi/publications/,False
78,Reda Al-Bodour,https://pureportal.coventry.ac.uk/en/persons/reda-al-bodour/publications/,Deputy Head of School
79,Alsayyid Ahmed Mahmood AL Busiadi,https://pureportal.coventry.ac.uk/en/persons/alsayyid-ahmed-mahmood-al-busiadi/publications/,False
80,Maher Aldakkak,https://pureportal.coventry.ac.uk/en/persons/maher-aldakkak/publications/,Project Supervisor
81,Tim Aldsworth,https://pureportal.coventry.ac.uk/en/persons/tim-aldsworth/publications/,Assistant Professor Academic
82,Hend Majed Rashed Alabbar Alfalasi,https://pureportal.coventry.ac.uk/en/persons/hend-majed-rashed-alabbar-alfalasi/publications/,False
83,Haitham Alfannah,https://pureportal.coventry.ac.uk/en/persons/haitham-alfannah/publications/,False
84,Kholoud Mashour S Al Garni,https://pureportal.coventry.ac.uk/en/persons/kholoud-mashour-s-al-garni/publications/,False
85,Alaa Alhaj Ismail,https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail/publications/,Assistant Professor (Research)
86,Emran Ali,https://pureportal.coventry.ac.uk/en/persons/emran-ali/publications/,False
87,Hatem Ali,https://pureportal.coventry.ac.uk/en/persons/hatem-ali/publications/,False
88,Mustafa Ali,https://pureportal.coventry.ac.uk/en/persons/mustafa-ali/publications/,Lecturer in Civil Engineering Materials
89,Rashid Ali,https://pureportal.coventry.ac.uk/en/persons/rashid-ali/publications/,Assistant Professor Academic
90,Reza Ali,https://pureportal.coventry.ac.uk/en/persons/reza-ali/publications/,Deputy Head of School
91,Taher Mabkhut Ali Al Junaibi,https://pureportal.coventry.ac.uk/en/persons/taher-mabkhut-ali-al-junaibi/publications/,False
92,Mabel Alkali,https://pureportal.coventry.ac.uk/en/persons/mabel-alkali/publications/,False
93,Ibrahim Alkhataybeh,https://pureportal.coventry.ac.uk/en/persons/ibrahim-alkhataybeh/publications/,Lecturer in Accounting
94,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/persons/khaled-al-khudir/publications/,Lecturer in Control Engineering
95,Fahimeh Allahi,https://pureportal.coventry.ac.uk/en/persons/fahimeh-allahi/publications/,Lecturer in Project Management
96,Dominic Thomas Allan,https://pureportal.coventry.ac.uk/en/persons/dominic-thomas-allan/publications/,False
97,Charlotte Allen,https://pureportal.coventry.ac.uk/en/persons/charlotte-allen/publications/,False
98,John Allen,https://pureportal.coventry.ac.uk/en/persons/john-allen/publications/,Professor of Biosensor and Bioinstrumentation
99,Ashraf Al Mamari,https://pureportal.coventry.ac.uk/en/persons/ashraf-al-mamari/publications/,False
100,Sayeda Mubarak Ali Mubarak Almansoori,https://pureportal.coventry.ac.uk/en/persons/sayeda-mubarak-ali-mubarak-almansoori/publications/,False
101,Khulood Almarzooqi,https://pureportal.coventry.ac.uk/en/persons/khulood-almarzooqi/publications/,False
102,Suhaib Almarzooqi,https://pureportal.coventry.ac.uk/en/persons/suhaib-almarzooqi/publications/,False
103,Jamal Al Masrouri,https://pureportal.coventry.ac.uk/en/persons/jamal-al-masrouri/publications/,False
104,Bader Mohammed Saif Mohammed Almentheri,https://pureportal.coventry.ac.uk/en/persons/bader-mohammed-saif-mohammed-almentheri/publications/,False
105,Abdulla Rashed Sultan Bin Qaba Almheiri,https://pureportal.coventry.ac.uk/en/persons/abdulla-rashed-sultan-bin-qaba-almheiri/publications/,False
106,Tariq Al Montaser,https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser/publications/,Lecturer in Accounting
107,Eman Abdulla Abdulrahman Abdulrahim Almulla,https://pureportal.coventry.ac.uk/en/persons/eman-abdulla-abdulrahman-abdulrahim-almulla/publications/,False
108,Akinboboye Alonge,https://pureportal.coventry.ac.uk/en/persons/akinboboye-alonge/publications/,False
109,Khaled Nagi Hussin Alosaimi,https://pureportal.coventry.ac.uk/en/persons/khaled-nagi-hussin-alosaimi/publications/,False
110,"Mansour Qubeissi, SFHEA",https://pureportal.coventry.ac.uk/en/persons/m-al-qubeissi/publications/,Curriculum Lead (Associate Professor - Academic)
111,Mazin Mahmood Ahmed Al Raisi,https://pureportal.coventry.ac.uk/en/persons/mazin-mahmood-ahmed-al-raisi/publications/,False
112,Yahya Mohammed Zahran Al Rawahi,https://pureportal.coventry.ac.uk/en/persons/yahya-mohammed-zahran-al-rawahi/publications/,False
113,Mohammad A M A H A A Alrefae,https://pureportal.coventry.ac.uk/en/persons/mohammad-a-m-a-h-a-a-alrefae/publications/,False
114,Raid Mohammed Saleh Al Rubaiey,https://pureportal.coventry.ac.uk/en/persons/raid-mohammed-saleh-al-rubaiey/publications/,False
115,Loai Alsaid,https://pureportal.coventry.ac.uk/en/persons/loai-alsaid/publications/,Assistant Professor Academic
116,Farah Al-Sallami,https://pureportal.coventry.ac.uk/en/persons/farah-al-sallami/publications/,Lecturer in Electrical and Electronic Engineering
117,Ali Al Shakarchi,https://pureportal.coventry.ac.uk/en/persons/ali-al-shakarchi/publications/,Project Supervisor
118,Sian Alsop,https://pureportal.coventry.ac.uk/en/persons/sian-alsop/publications/,Assistant Professor Research
119,Marwan Alssadek,https://pureportal.coventry.ac.uk/en/persons/marwan-alssadek/publications/,Assistant Lecturer in Economics
120,Wafaa Al-Tameemi,https://pureportal.coventry.ac.uk/en/persons/wafaa-al-tameemi/publications/,Assistant Lecturer Pharmacology
121,Faisal Ali Al Yahyaee,https://pureportal.coventry.ac.uk/en/persons/faisal-ali-al-yahyaee/publications/,False
122,Sultan Saeed Ali Amer Al Zaidi,https://pureportal.coventry.ac.uk/en/persons/sultan-saeed-ali-amer-al-zaidi/publications/,False
123,Eric Nkemdirim Sunny Amaechi,https://pureportal.coventry.ac.uk/en/persons/eric-amaechi/publications/,False
124,Albert Amagyei,https://pureportal.coventry.ac.uk/en/persons/albert-amagyei/publications/,False
125,Ajuma Amanyi-Enegela,https://pureportal.coventry.ac.uk/en/persons/ajuma-amanyi-enegela/publications/,Project Supervisor
126,Misbah Ameen-Khan,https://pureportal.coventry.ac.uk/en/persons/misbah-ameen-khan-2/publications/,Lecturer in Dietetics
127,Mohamed Farouk Sayed Moursy Amer,https://pureportal.coventry.ac.uk/en/persons/mohamed-farouk-sayed-moursy-amer/publications/,False
128,Taz Amietszajew,https://pureportal.coventry.ac.uk/en/persons/taz-amietszajew/publications/,Associate Professor (Research)
129,Shohel Amin,https://pureportal.coventry.ac.uk/en/persons/shohel-amin/publications/,Lecturer in Civil Engineering Highways and Transportation
130,Emily Amini,https://pureportal.coventry.ac.uk/en/persons/emily-amini/publications/,False
131,Abraham Amlogu,https://pureportal.coventry.ac.uk/en/persons/abraham-amlogu/publications/,"Project Supervisor, 7138SOH"
132,Francesca Romana Ammaturo,https://pureportal.coventry.ac.uk/en/persons/francesca-romana-ammaturo/publications/,Assistant Professor (Academic)
133,Isaac Amoako,https://pureportal.coventry.ac.uk/en/persons/isaac-amoako/publications/,Associate Professor Entrepreneurship
134,Christabell Amoakoh,https://pureportal.coventry.ac.uk/en/persons/christabell-amoakoh-2/publications/,FBL PhD Student Worker
135,Abdullateef Amusa,https://pureportal.coventry.ac.uk/en/persons/abdullateef-amusa/publications/,Lecturer in Project Management
136,"Jessica An, PhD",https://pureportal.coventry.ac.uk/en/persons/xiaojue-an/publications/,Assistant Professor (Academic)
137,Kusha Anand,https://pureportal.coventry.ac.uk/en/persons/kusha-anand/publications/,Research Assistant
138,Rachid Anane,https://pureportal.coventry.ac.uk/en/persons/rachid-anane/publications/,Assistant Professor Academic
139,Ragunath Anantharasa,https://pureportal.coventry.ac.uk/en/persons/ragunath-anantharasa/publications/,Academic Marking Assistant
140,A Anbalagan,https://pureportal.coventry.ac.uk/en/persons/a-anbalagan/publications/,Assistant Professor (Research)
141,Colin Anderson,https://pureportal.coventry.ac.uk/en/persons/colin-anderson/publications/,False
142,Daniel Anderson,https://pureportal.coventry.ac.uk/en/persons/daniel-anderson-2/publications/,Research Fellow
143,Sharon Andrews,https://pureportal.coventry.ac.uk/en/persons/sharon-andrews/publications/,Assistant Professor (Academic)
144,Panagiotis Andrikopoulos,https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos/publications/,Centre Director
145,Dimitar Angelov,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov/publications/,Assistant Professor (Research)
146,Christopher Aniche,https://pureportal.coventry.ac.uk/en/persons/christopher-aniche/publications/,False
147,Babatunde Anifowose,https://pureportal.coventry.ac.uk/en/persons/babatunde-anifowose/publications/,Assistant Professor Academic
148,Sara Anisi,https://pureportal.coventry.ac.uk/en/persons/sara-anisi/publications/,False
149,Soraya Anisi,https://pureportal.coventry.ac.uk/en/persons/soraya-anisi/publications/,False
150,Nancy Annan,https://pureportal.coventry.ac.uk/en/persons/nancy-annan-2/publications/,Assistant Professor (Research)
151,Emmanuel Antwi,https://pureportal.coventry.ac.uk/en/persons/emmanuel-antwi/publications/,Assistant Lecturer in Paramedic Science
